Energy fluotot bragg Monitor highharm
2.432500000000000000e+04 1.134517266066444301e-03 2.656469006589790283e+01 9.484210000000000000e+05 5.469548851829291181e-01
2.432600000000000000e+04 1.120378438939369876e-03 2.644584219266705816e+01 9.478940000000000000e+05 5.419376347682459683e-01
2.432600000000000000e+04 1.114234343741291045e-03 2.639614935491060876e+01 9.477360000000000000e+05 5.389325333942192042e-01
2.432700000000000000e+04 1.101250653306656835e-03 2.631320970045311824e+01 9.471050000000000000e+05 5.394647053978324225e-01
2.432700000000000000e+04 1.202227551382304338e-03 2.659611350092479398e+01 9.474080000000000000e+05 5.331415725621191370e-01
2.432800000000000000e+04 1.163306707239762433e-03 2.683211915856704266e+01 9.464400000000000000e+05 5.454587532244776771e-01
2.432800000000000000e+04 1.215719357000750230e-03 2.666978797353766950e+01 9.459420000000000000e+05 5.428714751882087741e-01
2.432900000000000000e+04 1.161470928287376171e-03 2.652668581676579151e+01 9.444920000000000000e+05 5.418133302336127777e-01
2.432900000000000000e+04 1.216421478406931557e-03 2.663554568858289429e+01 9.453960000000000000e+05 5.377367101217249701e-01
2.433000000000000000e+04 1.224940898720908991e-03 2.670082987550628673e+01 9.437190000000000000e+05 5.478238162511468445e-01
2.433000000000000000e+04 1.160097723665781937e-03 2.668512220681488145e+01 9.438860000000000000e+05 5.658200130525631311e-01
2.433100000000000000e+04 1.178152326294111757e-03 2.682514909007171866e+01 9.430020000000000000e+05 5.426100670714432139e-01
2.433100000000000000e+04 1.170795027090537144e-03 2.690096483695707974e+01 9.429490000000000000e+05 5.456425483588598357e-01
2.433200000000000000e+04 1.187679969602186596e-03 2.689191412439156181e+01 9.421730000000000000e+05 5.574756900164314910e-01
2.433200000000000000e+04 1.203626162629633243e-03 2.681788079208258324e+01 9.421530000000000000e+05 5.542397703722988789e-01
2.433300000000000000e+04 1.205144500438914924e-03 2.688240438616400141e+01 9.409660000000000000e+05 5.470490074215444976e-01
2.433300000000000000e+04 1.224298231828784651e-03 2.683208647591141371e+01 9.417640000000000000e+05 5.399342756263690868e-01
2.433400000000000000e+04 1.230829510947564981e-03 2.704956749305716812e+01 9.392040000000000000e+05 5.375934614224013863e-01
2.433400000000000000e+04 1.238431560976542686e-03 2.700676047492215659e+01 9.407060000000000000e+05 5.540378387826492279e-01
2.433500000000000000e+04 1.144368354485676914e-03 2.683402588861963523e+01 9.385090000000000000e+05 5.318820477279496695e-01
2.433500000000000000e+04 1.265584102218289542e-03 2.680313250655254365e+01 9.386970000000000000e+05 5.505598642339497584e-01
2.433600000000000000e+04 1.250478390603392475e-03 2.680944167838911341e+01 9.380410000000000000e+05 5.475113316042533596e-01
2.433600000000000000e+04 1.238203208236766592e-03 2.674457080564476286e+01 9.376490000000000000e+05 5.375153413050272055e-01
2.433700000000000000e+04 1.219578557184149755e-03 2.652137736915310384e+01 9.372090000000000000e+05 5.446878289965912945e-01
2.433700000000000000e+04 1.178243478038139280e-03 2.684212785916395561e+01 9.369880000000000000e+05 5.331476097200517072e-01
2.433800000000000000e+04 1.283564079427200987e-03 2.664629985039094962e+01 9.364550000000000000e+05 5.387046663224941412e-01
2.433800000000000000e+04 1.219947313658920106e-03 2.655577772764950595e+01 9.361060000000000000e+05 5.462959326385035119e-01
2.433900000000000000e+04 1.268323957599596860e-03 2.684817851783243370e+01 9.327270000000000000e+05 5.534288667654898575e-01
2.433900000000000000e+04 1.284122535869362727e-03 2.664448546337094115e+01 9.352690000000000000e+05 5.541191575057671237e-01
2.434000000000000000e+04 1.271126594793083953e-03 2.697697171605449640e+01 9.346040000000000000e+05 5.437564246901773757e-01
2.434000000000000000e+04 1.330404944011679899e-03 2.672275336367237486e+01 9.343020000000000000e+05 5.448409356689000171e-01
2.434100000000000000e+04 1.256211446196020803e-03 2.699137316745526505e+01 9.337600000000000000e+05 5.566631857499969582e-01
2.434100000000000000e+04 1.283071488930564649e-03 2.703114013182745268e+01 9.336970000000000000e+05 5.521976905050319795e-01
2.434200000000000000e+04 1.335473529045207164e-03 2.728950773875529023e+01 9.307560000000000000e+05 5.519190213526520283e-01
2.434200000000000000e+04 1.352495472033779685e-03 2.718595182743704441e+01 9.330900000000000000e+05 5.557789111417574812e-01
2.434300000000000000e+04 1.292767262197873660e-03 2.726958528606757781e+01 9.321090000000000000e+05 5.569682320490599858e-01
2.434300000000000000e+04 1.296053308634352152e-03 2.713147801613101606e+01 9.328320000000000000e+05 5.532942046642768119e-01
2.434400000000000000e+04 1.361153725500305377e-03 2.706948497089094019e+01 9.308280000000000000e+05 5.483656527203900621e-01
2.434400000000000000e+04 1.404981669715454125e-03 2.729384986117182166e+01 9.309730000000000000e+05 5.467283058785921135e-01
2.434500000000000000e+04 1.367306749679673798e-03 2.696380055113499097e+01 9.302960000000000000e+05 5.572283019254695713e-01
2.434500000000000000e+04 1.302664120094456767e-03 2.712057561964064334e+01 9.304010000000000000e+05 5.457192878806169656e-01
2.434600000000000000e+04 1.409618306329092586e-03 2.694404439715406951e+01 9.300390000000000000e+05 5.572104257971155494e-01
2.434600000000000000e+04 1.438623924941356130e-03 2.709607146353825513e+01 9.272750000000000000e+05 5.575547009983891078e-01
2.434700000000000000e+04 1.458039894728227438e-03 2.711699389509096392e+01 9.286440000000000000e+05 5.431900483920031331e-01
2.434700000000000000e+04 1.469867711905925621e-03 2.703721337524211421e+01 9.286550000000000000e+05 5.571675930472808069e-01
2.434800000000000000e+04 1.460500730789297992e-03 2.699303590210441328e+01 9.277640000000000000e+05 5.421844806970903541e-01
2.434800000000000000e+04 1.465600944881551102e-03 2.695507768143110283e+01 9.279470000000000000e+05 5.391727917016529981e-01
2.434900000000000000e+04 1.478308254247436481e-03 2.695399734383391532e+01 9.267350000000000000e+05 5.451416086107359060e-01
2.434900000000000000e+04 1.517717490965967342e-03 2.719020032506513473e+01 9.270500000000000000e+05 5.595514020990766113e-01
2.435000000000000000e+04 1.545087273034813184e-03 2.695361984231116281e+01 9.222780000000000000e+05 5.584388350968978454e-01
2.435000000000000000e+04 1.530838074469117365e-03 2.704937513449884534e+01 9.262900000000000000e+05 5.586061307811436283e-01
2.435100000000000000e+04 1.516073952400467462e-03 2.713212735201365788e+01 9.247570000000000000e+05 5.549794704876042095e-01
2.435100000000000000e+04 1.544658516650874395e-03 2.710192419032984645e+01 9.225340000000000000e+05 5.531273477928397853e-01
2.435200000000000000e+04 1.685825746034735027e-03 2.705080212737698986e+01 9.235830000000000000e+05 5.508967621786386992e-01
2.435200000000000000e+04 1.609418834204969038e-03 2.699654886007635213e+01 9.239360000000000000e+05 5.495444262205561037e-01
2.435300000000000000e+04 1.773763356405350143e-03 2.710317863630633184e+01 9.166950000000000000e+05 5.473534855869468529e-01
2.435300000000000000e+04 1.719577722854342700e-03 2.692396574364190442e+01 9.229010000000000000e+05 5.612451381173502174e-01
2.435400000000000000e+04 1.909797937722752283e-03 2.689590626512560689e+01 9.194690000000000000e+05 5.540943332820292833e-01
2.435400000000000000e+04 1.914461346113772739e-03 2.660618223465673893e+01 9.214080000000000000e+05 5.533428130964127556e-01
2.435500000000000000e+04 1.943038242772258039e-03 2.582994144452683116e+01 9.207230000000000000e+05 5.535942409401609643e-01
2.435500000000000000e+04 1.993971105446656379e-03 2.637562231690994707e+01 9.152590000000000000e+05 5.535276486864825207e-01
2.435600000000000000e+04 2.077220001716534314e-03 2.565513996160856536e+01 9.204610000000000000e+05 5.559423751805115943e-01
2.435600000000000000e+04 2.191436289792642739e-03 2.554012307603476728e+01 9.176630000000000000e+05 5.517724187958205073e-01
2.435700000000000000e+04 2.433395213486531494e-03 2.512264928175658341e+01 9.168260000000000000e+05 5.474879552377348579e-01
2.435700000000000000e+04 2.389893047662971799e-03 2.501707105742664794e+01 9.192880000000000000e+05 5.395273579602791747e-01
2.435800000000000000e+04 2.660339373022719764e-03 2.437298864238646701e+01 9.179280000000000000e+05 5.465026926735947477e-01
2.435800000000000000e+04 2.660182879402862247e-03 2.420713792931914554e+01 9.179820000000000000e+05 5.415292556383394240e-01
2.435900000000000000e+04 2.840778672845911332e-03 2.391593844431684346e+01 9.148900000000000000e+05 5.633448039543781372e-01
2.435900000000000000e+04 3.058947421207040395e-03 2.326864079162092480e+01 9.173090000000000000e+05 5.558030913962684894e-01
2.436000000000000000e+04 3.043152360057115556e-03 2.276709053349820522e+01 9.138550000000000000e+05 5.457944820310544065e-01
2.436000000000000000e+04 3.312870310132688505e-03 2.252679405191181417e+01 9.161240000000000000e+05 5.459464461416044800e-01
2.436100000000000000e+04 3.297653328326632591e-03 2.224991199102396422e+01 9.161060000000000000e+05 5.377169777659729366e-01
2.436100000000000000e+04 3.478125089344807474e-03 2.205878656193635834e+01 9.093980000000000000e+05 5.313386348542803450e-01
2.436200000000000000e+04 3.645968030373888166e-03 2.159373040710029912e+01 9.086750000000000000e+05 5.370618872874222127e-01
2.436200000000000000e+04 3.656684313570557864e-03 2.160576036076812301e+01 9.112080000000000000e+05 5.521141624907524026e-01
2.436300000000000000e+04 3.733901806514003992e-03 2.102479502413174473e+01 9.100400000000000000e+05 5.564425435633795214e-01
2.436300000000000000e+04 3.979505818727201855e-03 2.112888308885106170e+01 9.134300000000000000e+05 5.460525878988035098e-01
2.436400000000000000e+04 4.108922152464195877e-03 2.089287103620683084e+01 9.099710000000000000e+05 5.277703597289253867e-01
2.436400000000000000e+04 3.945460521759411310e-03 2.073752385531489040e+01 9.096530000000000000e+05 5.368027041196118399e-01
2.436500000000000000e+04 4.294995425253903508e-03 2.032977640149951881e+01 9.115260000000000000e+05 5.481552320444778026e-01
2.436500000000000000e+04 3.994221407179721420e-03 2.047841405276816928e+01 9.095640000000000000e+05 5.390816638521216397e-01
2.436600000000000000e+04 4.305524799183846514e-03 2.001851348967760558e+01 9.076710000000000000e+05 5.443636226257991817e-01
2.436600000000000000e+04 4.316365500901709826e-03 2.027745240470070343e+01 9.049280000000000000e+05 5.408639345621117922e-01
2.436700000000000000e+04 4.564173945371549634e-03 1.970297068850851119e+01 9.037780000000000000e+05 5.417813043388318706e-01
2.436700000000000000e+04 4.447743957766241846e-03 1.962822719217677658e+01 9.092250000000000000e+05 5.504168674546248141e-01
2.436800000000000000e+04 4.763239002521735266e-03 1.940179943490179681e+01 8.993880000000000000e+05 5.420314330186896123e-01
2.436800000000000000e+04 4.696075809186121830e-03 1.929266088166470183e+01 9.047980000000000000e+05 5.268414705217824290e-01
2.436900000000000000e+04 4.823365341055471656e-03 1.880572371486863048e+01 9.006160000000000000e+05 5.460169709875731803e-01
2.436900000000000000e+04 4.829486730241821027e-03 1.893895249956403504e+01 9.046510000000000000e+05 5.416778430661589594e-01
2.437000000000000000e+04 4.949159841546990797e-03 1.862928893531889685e+01 9.009610000000000000e+05 5.374415059848162146e-01
2.437000000000000000e+04 4.927214883725068023e-03 1.839775910294845573e+01 8.992910000000000000e+05 5.423910256216289971e-01
2.437100000000000000e+04 5.066925315227949547e-03 1.822037074716410032e+01 9.021250000000000000e+05 5.430539138403369659e-01
2.437100000000000000e+04 5.201885059307492787e-03 1.838341876562669341e+01 9.014040000000000000e+05 5.354681999001250636e-01
2.437200000000000000e+04 5.232033410413210878e-03 1.806266357181847226e+01 9.007970000000000000e+05 5.430000632591880372e-01
2.437200000000000000e+04 5.134511131230519963e-03 1.804911871491772146e+01 9.034940000000000000e+05 5.604082582230549558e-01
2.437300000000000000e+04 5.062598496568397263e-03 1.781574922231348168e+01 8.991430000000000000e+05 5.366211941423021381e-01
2.437300000000000000e+04 5.318600237590031567e-03 1.760765699856948174e+01 9.015530000000000000e+05 5.489065587270050006e-01
2.437400000000000000e+04 5.517974746888048947e-03 1.768756299551978728e+01 8.952560000000000000e+05 5.473213387629847215e-01
