Energy fluotot Monitor
2.438500000000000000e+04 5.014810858708546731e-03 1.494174000000000000e+06
2.438600000000000000e+04 5.114045972144412935e-03 1.492556000000000000e+06
2.438600000000000000e+04 5.250421920811586610e-03 1.499689000000000000e+06
2.438700000000000000e+04 5.217911520853559491e-03 1.491018000000000000e+06
2.438700000000000000e+04 5.310320606091025776e-03 1.494825000000000000e+06
2.438800000000000000e+04 5.365611103245072379e-03 1.490231000000000000e+06
2.438800000000000000e+04 5.495240937972246074e-03 1.494202000000000000e+06
2.438900000000000000e+04 5.404858475931766451e-03 1.492361000000000000e+06
2.438900000000000000e+04 5.357090104389067818e-03 1.489428000000000000e+06
2.439000000000000000e+04 5.511557107066064609e-03 1.491593000000000000e+06
2.439000000000000000e+04 5.356624641279460024e-03 1.488624000000000000e+06
2.439100000000000000e+04 5.557337831394014264e-03 1.486863000000000000e+06
2.439100000000000000e+04 5.597686030280246347e-03 1.490080000000000000e+06
2.439200000000000000e+04 5.656002214036026134e-03 1.488684000000000000e+06
2.439200000000000000e+04 5.656124585499092139e-03 1.485823000000000000e+06
2.439300000000000000e+04 5.603405296589034253e-03 1.484276000000000000e+06
2.439300000000000000e+04 5.656690876261578731e-03 1.484260000000000000e+06
2.439400000000000000e+04 5.610451809239237926e-03 1.483303000000000000e+06
2.439400000000000000e+04 5.628891152286966473e-03 1.482530000000000000e+06
2.439500000000000000e+04 5.758580412873496798e-03 1.483699000000000000e+06
2.439500000000000000e+04 5.733944954128441553e-03 1.484144000000000000e+06
2.439600000000000000e+04 5.641803977922558826e-03 1.486404000000000000e+06
2.439600000000000000e+04 5.536788810766512040e-03 1.483712000000000000e+06
2.439700000000000000e+04 5.619873229561456705e-03 1.484731000000000000e+06
2.439700000000000000e+04 5.620279526414377093e-03 1.478930000000000000e+06
2.439800000000000000e+04 5.594450045882210301e-03 1.478787000000000000e+06
2.439800000000000000e+04 5.558464329635823785e-03 1.478286000000000000e+06
2.439900000000000000e+04 5.663903429770648403e-03 1.479545000000000000e+06
2.439900000000000000e+04 5.725812446360619735e-03 1.479790000000000000e+06
2.440000000000000000e+04 5.578765649902171428e-03 1.478284000000000000e+06
2.440200000000000000e+04 5.553242268826491350e-03 1.476975000000000000e+06
2.440400000000000000e+04 5.313761577426731608e-03 1.474097000000000000e+06
2.440600000000000000e+04 5.330949238881925283e-03 1.473096000000000000e+06
2.440800000000000000e+04 5.023250629690396984e-03 1.471358000000000000e+06
2.441000000000000000e+04 5.108203321590342426e-03 1.470380000000000000e+06
2.441200000000000000e+04 5.145896590495544452e-03 1.472824000000000000e+06
2.441400000000000000e+04 5.124482853477663191e-03 1.468636000000000000e+06
2.441600000000000000e+04 5.234132949020143567e-03 1.468247000000000000e+06
2.441800000000000000e+04 5.151237946703066117e-03 1.467026000000000000e+06
2.442000000000000000e+04 5.393749143267496590e-03 1.466327000000000000e+06
2.442200000000000000e+04 5.307921423964177300e-03 1.468183000000000000e+06
2.442400000000000000e+04 5.407424912813209653e-03 1.464098000000000000e+06
2.442600000000000000e+04 5.248282007686544924e-03 1.463336000000000000e+06
2.442800000000000000e+04 5.247272772028778454e-03 1.462474000000000000e+06
2.443000000000000000e+04 5.464402373745129611e-03 1.461825000000000000e+06
2.443200000000000000e+04 5.577104790863712455e-03 1.461511000000000000e+06
2.443400000000000000e+04 5.538713484884579333e-03 1.460628000000000000e+06
2.443600000000000000e+04 5.426670420536127380e-03 1.459827000000000000e+06
2.443800000000000000e+04 5.617442243851147009e-03 1.458849000000000000e+06
2.444000000000000000e+04 5.550373134328363475e-03 1.457920000000000000e+06
2.444200000000000000e+04 5.503131707370654754e-03 1.457352000000000000e+06
2.444400000000000000e+04 5.599674130838117048e-03 1.455799000000000000e+06
2.444600000000000000e+04 5.684394814303798601e-03 1.455388000000000000e+06
2.444800000000000000e+04 5.629984774903775031e-03 1.454178000000000000e+06
2.445000000000000000e+04 5.573315806317299947e-03 1.452995000000000000e+06
2.445200000000000000e+04 5.579525626706804617e-03 1.452274000000000000e+06
2.445400000000000000e+04 5.589289169960261899e-03 1.452063000000000000e+06
2.445600000000000000e+04 5.597203808605521330e-03 1.451975000000000000e+06
2.445800000000000000e+04 5.633651383532149552e-03 1.450924000000000000e+06
2.446000000000000000e+04 5.709277178890228600e-03 1.450096000000000000e+06
2.446200000000000000e+04 5.487341309318004116e-03 1.449518000000000000e+06
2.446400000000000000e+04 5.476961559805500375e-03 1.448796000000000000e+06
2.446600000000000000e+04 5.449843481047798172e-03 1.447748000000000000e+06
2.446800000000000000e+04 5.417453444515139133e-03 1.447359000000000000e+06
2.447000000000000000e+04 5.412132358024852874e-03 1.446380000000000000e+06
2.447200000000000000e+04 5.389837965877523548e-03 1.445498000000000000e+06
2.447400000000000000e+04 5.441377310128038547e-03 1.444671000000000000e+06
2.447600000000000000e+04 5.346467292464985969e-03 1.443383000000000000e+06
2.447800000000000000e+04 5.393424814338369268e-03 1.439716000000000000e+06
2.448000000000000000e+04 5.438684228231910854e-03 1.441709000000000000e+06
2.448200000000000000e+04 5.355450467645839902e-03 1.438161000000000000e+06
2.448400000000000000e+04 5.461681103638636216e-03 1.440399000000000000e+06
2.448600000000000000e+04 5.357327714079467701e-03 1.439337000000000000e+06
2.448800000000000000e+04 5.509872494378845881e-03 1.433427000000000000e+06
2.449000000000000000e+04 5.561932959889255221e-03 1.434753000000000000e+06
2.449200000000000000e+04 5.477457271439601511e-03 1.433877000000000000e+06
2.449400000000000000e+04 5.598687060106903590e-03 1.433729000000000000e+06
2.449600000000000000e+04 5.544220394631185246e-03 1.432122000000000000e+06
2.449800000000000000e+04 5.590872990649030892e-03 1.431619000000000000e+06
2.450000000000000000e+04 5.670330008727358581e-03 1.428841000000000000e+06
2.450200000000000000e+04 5.612414266503876724e-03 1.421848000000000000e+06
2.450400000000000000e+04 5.717480992659798589e-03 1.423529000000000000e+06
2.450600000000000000e+04 5.622185218753739978e-03 1.423290000000000000e+06
2.450800000000000000e+04 5.711458706132504018e-03 1.425030000000000000e+06
2.451000000000000000e+04 5.654572496457534875e-03 1.422035000000000000e+06
2.451200000000000000e+04 5.731700202911316384e-03 1.422789000000000000e+06
2.451400000000000000e+04 5.727239597394437158e-03 1.418659000000000000e+06
2.451600000000000000e+04 5.794073752246406937e-03 1.417828000000000000e+06
2.451800000000000000e+04 5.618664858133146783e-03 1.414037000000000000e+06
2.452000000000000000e+04 5.730256488454782242e-03 1.416516000000000000e+06
2.452200000000000000e+04 5.740491626300731239e-03 1.415384000000000000e+06
2.452400000000000000e+04 5.731708349680050829e-03 1.417204000000000000e+06
2.452600000000000000e+04 5.718874132185000451e-03 1.407270000000000000e+06
2.452800000000000000e+04 5.810043155851623252e-03 1.406530000000000000e+06
2.453000000000000000e+04 5.681515051711250562e-03 1.405787000000000000e+06
2.453200000000000000e+04 5.769726158606271540e-03 1.405266000000000000e+06
2.453400000000000000e+04 5.930710552690075625e-03 1.403879000000000000e+06
2.453600000000000000e+04 5.679530530148914694e-03 1.403285000000000000e+06
2.453800000000000000e+04 5.860262413649240491e-03 1.401985000000000000e+06
2.454000000000000000e+04 5.813521969489362368e-03 1.401216000000000000e+06
