    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -29.0000  1.00310E-04  6.69991E-04  2.08271E-05  1.33998E-03  4.16541E-05  7.28701E-04  8.88288E-06  7.83964E-04  5.89609E-06  7.28701E-04  8.88288E-06  4.48273E-03  4.73237E-05  1.20862E-04  9.26273E-07  1.80211E-04  1.60364E-06  2.24150E-05  6.06204E-07  1.80211E-04  1.60364E-06  1.20862E-04  9.26273E-07  1.24912E-03  1.13321E-05
  -28.9000  1.01497E-04  2.97739E-06  2.08489E-05  5.95477E-06  4.16979E-05  2.53565E-06  8.90152E-06  1.86454E-06  5.90979E-06  2.53565E-06  8.90152E-06  1.38717E-05  4.74257E-05  3.01020E-05  1.14752E-06  5.17528E-06  1.64168E-06  3.03986E-07  6.08438E-07  5.17528E-06  1.64168E-06  3.01020E-05  1.14752E-06  1.41717E-04  1.23737E-05
  -28.8000  1.01572E-04  8.77119E-07  2.08554E-05  1.75424E-06  4.17108E-05  4.73698E-07  8.90500E-06  4.63163E-07  5.91319E-06  4.73698E-07  8.90500E-06  2.82112E-06  4.74464E-05  7.42652E-07  1.15298E-06  6.30628E-07  1.64631E-06  6.05616E-08  6.08883E-07  6.30628E-07  1.64631E-06  7.42652E-07  1.15298E-06  5.61424E-06  1.24149E-05
  -28.7000  1.01600E-04  4.73700E-07  2.08589E-05  9.47401E-07  4.17177E-05  1.87543E-07  8.90638E-06  2.24095E-07  5.91484E-06  1.87543E-07  8.90638E-06  1.19836E-06  4.74552E-05  1.42914E-07  1.15403E-06  2.66972E-07  1.64827E-06  2.70834E-08  6.09082E-07  2.66972E-07  1.64827E-06  1.42914E-07  1.15403E-06  1.69371E-06  1.24274E-05
  -28.6000  1.01617E-04  3.10878E-07  2.08612E-05  6.21757E-07  4.17223E-05  1.10357E-07  8.90719E-06  1.36871E-07  5.91585E-06  1.10357E-07  8.90719E-06  7.15171E-07  4.74604E-05  5.69669E-08  1.15445E-06  1.52034E-07  1.64939E-06  1.60219E-08  6.09200E-07  1.52034E-07  1.64939E-06  5.69669E-08  1.15445E-06  8.68046E-07  1.24338E-05
  -28.5000  1.01628E-04  2.25758E-07  2.08628E-05  4.51516E-07  4.17256E-05  7.72674E-08  8.90776E-06  9.44728E-08  5.91654E-06  7.72674E-08  8.90776E-06  4.98015E-07  4.74641E-05  3.26818E-08  1.15469E-06  1.00945E-07  1.65013E-06  1.09032E-08  6.09280E-07  1.00945E-07  1.65013E-06  3.26818E-08  1.15469E-06  5.56315E-07  1.24378E-05
  -28.4000  1.01636E-04  1.74776E-07  2.08641E-05  3.49552E-07  4.17282E-05  5.91546E-08  8.90819E-06  7.03964E-08  5.91706E-06  5.91546E-08  8.90819E-06  3.77411E-07  4.74669E-05  2.26311E-08  1.15485E-06  7.34986E-08  1.65067E-06  8.07336E-09  6.09339E-07  7.34986E-08  1.65067E-06  2.26311E-08  1.15485E-06  4.00665E-07  1.24408E-05
  -28.3000  1.01642E-04  1.41503E-07  2.08651E-05  2.83007E-07  4.17303E-05  4.77940E-08  8.90854E-06  5.52988E-08  5.91746E-06  4.77940E-08  8.90854E-06  3.01774E-07  4.74691E-05  1.73628E-08  1.15498E-06  5.68970E-08  1.65109E-06  6.32734E-09  6.09386E-07  5.68970E-08  1.65109E-06  1.73628E-08  1.15498E-06  3.09694E-07  1.24431E-05
  -28.2000  1.01648E-04  1.18465E-07  2.08660E-05  2.36930E-07  4.17320E-05  4.00581E-08  8.90884E-06  4.51633E-08  5.91780E-06  4.00581E-08  8.90884E-06  2.50559E-07  4.74709E-05  1.41582E-08  1.15508E-06  4.60231E-08  1.65143E-06  5.16623E-09  6.09424E-07  4.60231E-08  1.65143E-06  1.41582E-08  1.15508E-06  2.51058E-07  1.24449E-05
  -28.1000  1.01652E-04  1.01802E-07  2.08668E-05  2.03603E-07  4.17335E-05  3.44921E-08  8.90909E-06  3.80051E-08  5.91808E-06  3.44921E-08  8.90909E-06  2.13979E-07  4.74725E-05  1.20112E-08  1.15517E-06  3.84769E-08  1.65171E-06  4.35238E-09  6.09456E-07  3.84769E-08  1.65171E-06  1.20112E-08  1.15517E-06  2.10657E-07  1.24465E-05
  -28.0000  1.01657E-04  8.93074E-08  2.08674E-05  1.78615E-07  4.17348E-05  3.03182E-08  8.90931E-06  3.27384E-08  5.91832E-06  3.03182E-08  8.90931E-06  1.86750E-07  4.74739E-05  1.04731E-08  1.15525E-06  3.29961E-08  1.65196E-06  3.75677E-09  6.09484E-07  3.29961E-08  1.65196E-06  1.04731E-08  1.15525E-06  1.81390E-07  1.24478E-05
  -27.9000  1.01660E-04  7.97021E-08  2.08680E-05  1.59404E-07  4.17360E-05  2.71009E-08  8.90951E-06  2.87492E-08  5.91853E-06  2.71009E-08  8.90951E-06  1.65902E-07  4.74751E-05  9.32280E-09  1.15532E-06  2.88861E-08  1.65217E-06  3.30738E-09  6.09508E-07  2.88861E-08  1.65217E-06  9.32280E-09  1.15532E-06  1.59450E-07  1.24490E-05
  -27.8000  1.01663E-04  7.21531E-08  2.08685E-05  1.44306E-07  4.17371E-05  2.45616E-08  8.90969E-06  2.56493E-08  5.91872E-06  2.45616E-08  8.90969E-06  1.49545E-07  4.74762E-05  8.43319E-09  1.15538E-06  2.57175E-08  1.65236E-06  2.95967E-09  6.09530E-07  2.57175E-08  1.65236E-06  8.43319E-09  1.15538E-06  1.42522E-07  1.24500E-05
