Energy Monitor Ho_a Ho_g1 Ho_b1 bragg Ho_b2 fluotot
8.119000000000000000e+03 1.379410000000000000e+05 1.310705301541963607e-03 2.071278921354827931e-07 3.707589269532418966e-05 2.105825875920443195e+02 1.953296158206010015e-04 2.144250077931831311e-01
8.120000000000000000e+03 1.376880000000000000e+05 1.318301418528017820e-03 -1.862006133836792980e-17 3.797405313877337622e-05 2.117210690435952074e+02 2.088389018479429315e-04 2.151095229794868779e-01
8.121000000000000000e+03 1.379320000000000000e+05 1.310583683057075675e-03 -2.019564273515739502e-17 3.707831188038826156e-05 2.093911638772539732e+02 2.141851556334645407e-04 2.146202476582709517e-01
8.122000000000000000e+03 1.366450000000000000e+05 1.337773061582934065e-03 2.090923822198823282e-07 4.098210691938965758e-05 2.120097632142520752e+02 2.109404057239567740e-04 2.172929854733066657e-01
8.123000000000000000e+03 1.367460000000000000e+05 1.343262064599434541e-03 2.089379474952168937e-07 3.760883055341394330e-05 2.118518142448838262e+02 2.226992395169175606e-04 2.173445658373934775e-01
8.124000000000000000e+03 1.377290000000000000e+05 1.335956842785470007e-03 2.074467146924903164e-07 4.211168308780285815e-05 2.105418317751775419e+02 2.149899844698354161e-04 2.173035453680808304e-01
8.125000000000000000e+03 1.363340000000000000e+05 1.293252495447105811e-03 2.095693559025814798e-07 3.541722115225422760e-05 2.105123870515503484e+02 1.896167363158679053e-04 2.133950445230067550e-01
8.126000000000000000e+03 1.364440000000000000e+05 1.329901958731368686e-03 -3.026262204985717664e-17 4.041427775707040536e-05 2.108098800874718393e+02 2.108735553318676612e-04 2.152018410483410582e-01
8.127000000000000000e+03 1.368690000000000000e+05 1.399043715419227753e-03 -3.280224878153368539e-17 3.423502974168209214e-05 2.099423282018134387e+02 2.128488363644002817e-04 2.215622237321858701e-01
8.128000000000000000e+03 1.371930000000000000e+05 1.366583676176731351e-03 -3.555034349592483760e-17 4.061015191320673103e-05 2.087116388906849807e+02 2.486498674260559350e-04 2.245960070849101209e-01
8.129000000000000000e+03 1.360910000000000000e+05 1.351196730758935389e-03 -3.852580984370193814e-17 3.548046107803916495e-05 2.085299292613669309e+02 2.373975056882263505e-04 2.188462131955850876e-01
8.130000000000000000e+03 1.367710000000000000e+05 1.337585139706934682e-03 2.088997562766884071e-07 3.509515906149695370e-05 2.064074917504526638e+02 2.398161285251250679e-04 2.164347705288404977e-01
8.131000000000000000e+03 1.358340000000000000e+05 1.339450043014688225e-03 2.103407730412477395e-07 3.849236147482536322e-05 2.055573592747775251e+02 2.068234900892683978e-04 2.172062959200179166e-01
8.132000000000000000e+03 1.360390000000000000e+05 1.401908906374537593e-03 -4.899927973256624447e-17 4.179473743348808705e-05 2.038257841807721888e+02 2.416861085058875057e-04 2.216423231573314834e-01
8.133000000000000000e+03 1.368660000000000000e+05 1.352104561082685544e-03 -5.307837027423306795e-17 3.694959198882744657e-05 2.037145057792081388e+02 2.332525986175888570e-04 2.212821299665380104e-01
8.134000000000000000e+03 1.357160000000000000e+05 1.393666606316551655e-03 -5.748961136198842649e-17 3.494692698618543774e-05 2.050858063396226783e+02 2.576068241620670021e-04 2.243582186330272676e-01
8.135000000000000000e+03 1.344620000000000000e+05 1.404539147544606311e-03 2.124870116691458927e-07 4.207242832281876807e-05 2.038612946871663780e+02 2.648098363995133610e-04 2.245020898097653816e-01
